選舉類型,候選人數量
[鄉鎮市民代表]屏東縣內埔鄉第3選舉區,2
[鄉鎮市民代表]屏東縣內埔鄉第4選舉區,6
[鄉鎮市民代表]屏東縣竹田鄉第1選舉區,7
[鄉鎮市民代表]屏東縣竹田鄉第2選舉區,6
[鄉鎮市民代表]屏東縣竹田鄉第3選舉區,7
[鄉鎮市民代表]屏東縣新埤鄉第1選舉區,7
[鄉鎮市民代表]屏東縣新埤鄉第2選舉區,3
[鄉鎮市民代表]屏東縣新埤鄉第3選舉區,3
[鄉鎮市民代表]屏東縣新埤鄉第4選舉區,4
[鄉鎮市民代表]屏東縣枋寮鄉第1選舉區,8
[鄉鎮市民代表]屏東縣枋寮鄉第2選舉區,5
[鄉鎮市民代表]屏東縣枋寮鄉第3選舉區,4
[鄉鎮市民代表]屏東縣新園鄉第1選舉區,6
[鄉鎮市民代表]屏東縣新園鄉第2選舉區,4
[鄉鎮市民代表]屏東縣新園鄉第3選舉區,2
[鄉鎮市民代表]屏東縣新園鄉第4選舉區,5
[鄉鎮市民代表]屏東縣崁頂鄉第1選舉區,5
[鄉鎮市民代表]屏東縣崁頂鄉第2選舉區,2
[鄉鎮市民代表]屏東縣崁頂鄉第3選舉區,3
[鄉鎮市民代表]屏東縣崁頂鄉第4選舉區,4
[鄉鎮市民代表]屏東縣林邊鄉第1選舉區,6
[鄉鎮市民代表]屏東縣林邊鄉第2選舉區,5
[鄉鎮市民代表]屏東縣林邊鄉第3選舉區,3
[鄉鎮市民代表]屏東縣南州鄉第1選舉區,8
[鄉鎮市民代表]屏東縣南州鄉第2選舉區,2
[鄉鎮市民代表]屏東縣南州鄉第3選舉區,6
[鄉鎮市民代表]屏東縣南州鄉第4選舉區,4
[鄉鎮市民代表]屏東縣佳冬鄉第1選舉區,4
[鄉鎮市民代表]屏東縣佳冬鄉第2選舉區,3
[鄉鎮市民代表]屏東縣佳冬鄉第3選舉區,4
[鄉鎮市民代表]屏東縣佳冬鄉第4選舉區,4
[鄉鎮市民代表]屏東縣琉球鄉第1選舉區,3
[鄉鎮市民代表]屏東縣琉球鄉第2選舉區,5
[鄉鎮市民代表]屏東縣琉球鄉第3選舉區,3
[鄉鎮市民代表]屏東縣琉球鄉第4選舉區,6
[鄉鎮市民代表]屏東縣車城鄉第1選舉區,1
[鄉鎮市民代表]屏東縣車城鄉第2選舉區,5
[鄉鎮市民代表]屏東縣車城鄉第3選舉區,2
[鄉鎮市民代表]屏東縣車城鄉第4選舉區,4
[鄉鎮市民代表]屏東縣滿州鄉第1選舉區,6
[鄉鎮市民代表]屏東縣滿州鄉第2選舉區,4
[鄉鎮市民代表]屏東縣滿州鄉第3選舉區,3
[鄉鎮市民代表]屏東縣枋山鄉第1選舉區,1
[鄉鎮市民代表]屏東縣枋山鄉第2選舉區,4
[鄉鎮市民代表]屏東縣枋山鄉第3選舉區,5
[鄉鎮市民代表]屏東縣三地門鄉第1選舉區,8
[鄉鎮市民代表]屏東縣三地門鄉第2選舉區,7
[鄉鎮市民代表]屏東縣霧臺鄉第1選舉區,6
[鄉鎮市民代表]屏東縣霧臺鄉第2選舉區,5
[鄉鎮市民代表]屏東縣瑪家鄉第1選舉區,7
[鄉鎮市民代表]屏東縣瑪家鄉第2選舉區,6
[鄉鎮市民代表]屏東縣泰武鄉第1選舉區,9
[鄉鎮市民代表]屏東縣泰武鄉第2選舉區,6
[鄉鎮市民代表]屏東縣來義鄉第1選舉區,4
[鄉鎮市民代表]屏東縣來義鄉第2選舉區,5
[鄉鎮市民代表]屏東縣春日鄉第1選舉區,4
[鄉鎮市民代表]屏東縣春日鄉第2選舉區,5
[鄉鎮市民代表]屏東縣獅子鄉第1選舉區,5
[鄉鎮市民代表]屏東縣獅子鄉第2選舉區,6
[鄉鎮市民代表]屏東縣牡丹鄉第1選舉區,13
[鄉鎮市民代表]屏東縣牡丹鄉第2選舉區,4
[鄉鎮市民代表]屏東縣滿州鄉第4選舉區,3
[縣(市)長]臺東縣,5
[縣(市)議員]臺東縣第1選舉區,22
[縣(市)議員]臺東縣第2選舉區,2
[縣(市)議員]臺東縣第3選舉區,4
[縣(市)議員]臺東縣第4選舉區,3
[縣(市)議員]臺東縣第5選舉區,2
[縣(市)議員]臺東縣第6選舉區,2
[縣(市)議員]臺東縣第12選舉區,3
[縣(市)議員]臺東縣第13選舉區,2
[縣(市)議員]臺東縣第14選舉區,2
[縣(市)議員]臺東縣第15選舉區,2
[縣(市)議員]臺東縣第16選舉區,4
[縣(市)議員]臺東縣第7選舉區,7
[縣(市)議員]臺東縣第8選舉區,3
[縣(市)議員]臺東縣第9選舉區,2
[縣(市)議員]臺東縣第10選舉區,2
[縣(市)議員]臺東縣第11選舉區,5
[鄉鎮市長]臺東縣臺東市,2
[鄉鎮市長]臺東縣成功鎮,2
[鄉鎮市長]臺東縣關山鎮,2
[鄉鎮市長]臺東縣卑南鄉,1
[鄉鎮市長]臺東縣鹿野鄉,2
[鄉鎮市長]臺東縣池上鄉,1
[鄉鎮市長]臺東縣東河鄉,3
[鄉鎮市長]臺東縣長濱鄉,2
[鄉鎮市長]臺東縣太麻里鄉,2
[鄉鎮市長]臺東縣大武鄉,2
[鄉鎮市長]臺東縣綠島鄉,2
[鄉鎮市長]臺東縣海端鄉,4
[鄉鎮市長]臺東縣延平鄉,6
[鄉鎮市長]臺東縣金峰鄉,2
[鄉鎮市長]臺東縣達仁鄉,7
[鄉鎮市長]臺東縣蘭嶼鄉,15
[鄉鎮市民代表]臺東縣臺東市第1選舉區,4
[鄉鎮市民代表]臺東縣臺東市第2選舉區,13
[鄉鎮市民代表]臺東縣臺東市第3選舉區,9
[鄉鎮市民代表]臺東縣臺東市第4選舉區,3
[鄉鎮市民代表]臺東縣成功鎮第1選舉區,9
[鄉鎮市民代表]臺東縣關山鎮第1選舉區,5
[鄉鎮市民代表]臺東縣關山鎮第2選舉區,2
[鄉鎮市民代表]臺東縣關山鎮第3選舉區,1
[鄉鎮市民代表]臺東縣卑南鄉第1選舉區,8
[鄉鎮市民代表]臺東縣卑南鄉第2選舉區,3
[鄉鎮市民代表]臺東縣鹿野鄉第1選舉區,4
[鄉鎮市民代表]臺東縣鹿野鄉第2選舉區,3
[鄉鎮市民代表]臺東縣池上鄉第1選舉區,4
[鄉鎮市民代表]臺東縣池上鄉第2選舉區,2
[鄉鎮市民代表]臺東縣池上鄉第3選舉區,2
[鄉鎮市民代表]臺東縣東河鄉第1選舉區,4
[鄉鎮市民代表]臺東縣長濱鄉第1選舉區,6
[鄉鎮市民代表]臺東縣太麻里鄉第1選舉區,4
[鄉鎮市民代表]臺東縣太麻里鄉第2選舉區,5
[鄉鎮市民代表]臺東縣大武鄉第1選舉區,4
[鄉鎮市民代表]臺東縣綠島鄉第1選舉區,3
[鄉鎮市民代表]臺東縣綠島鄉第2選舉區,4
[鄉鎮市民代表]臺東縣綠島鄉第3選舉區,3
[鄉鎮市民代表]臺東縣海端鄉第1選舉區,2
[鄉鎮市民代表]臺東縣海端鄉第2選舉區,10
[鄉鎮市民代表]臺東縣海端鄉第3選舉區,4
[鄉鎮市民代表]臺東縣延平鄉第1選舉區,7
[鄉鎮市民代表]臺東縣延平鄉第2選舉區,4
[鄉鎮市民代表]臺東縣延平鄉第3選舉區,2
[鄉鎮市民代表]臺東縣金峰鄉第1選舉區,4
[鄉鎮市民代表]臺東縣金峰鄉第2選舉區,4
[鄉鎮市民代表]臺東縣金峰鄉第3選舉區,2
[鄉鎮市民代表]臺東縣達仁鄉第1選舉區,5
[鄉鎮市民代表]臺東縣達仁鄉第2選舉區,5
[鄉鎮市民代表]臺東縣達仁鄉第3選舉區,5
[鄉鎮市民代表]臺東縣臺東市第5選舉區,8
[鄉鎮市民代表]臺東縣成功鎮第2選舉區,9
[鄉鎮市民代表]臺東縣關山鎮第4選舉區,4
[鄉鎮市民代表]臺東縣卑南鄉第3選舉區,6
[鄉鎮市民代表]臺東縣鹿野鄉第3選舉區,3
[鄉鎮市民代表]臺東縣池上鄉第4選舉區,4
[鄉鎮市民代表]臺東縣東河鄉第2選舉區,10
[鄉鎮市民代表]臺東縣長濱鄉第2選舉區,7
[鄉鎮市民代表]臺東縣太麻里鄉第3選舉區,3
[鄉鎮市民代表]臺東縣太麻里鄉第4選舉區,5
[鄉鎮市民代表]臺東縣大武鄉第2選舉區,7
[縣(市)長]花蓮縣,3
[縣(市)議員]花蓮縣第1選舉區,17
[縣(市)議員]花蓮縣第2選舉區,4
[縣(市)議員]花蓮縣第3選舉區,14
[縣(市)議員]花蓮縣第4選舉區,6
[縣(市)議員]花蓮縣第5選舉區,7
[縣(市)議員]花蓮縣第6選舉區,7
[縣(市)議員]花蓮縣第7選舉區,5
[縣(市)議員]花蓮縣第8選舉區,3
[縣(市)議員]花蓮縣第9選舉區,4
[縣(市)議員]花蓮縣第10選舉區,2
[鄉鎮市長]花蓮縣花蓮市,3
[鄉鎮市長]花蓮縣鳳林鎮,2
[鄉鎮市長]花蓮縣玉里鎮,2
[鄉鎮市長]花蓮縣新城鄉,2
[鄉鎮市長]花蓮縣吉安鄉,4
[鄉鎮市長]花蓮縣壽豐鄉,3
[鄉鎮市長]花蓮縣光復鄉,3
[鄉鎮市長]花蓮縣豐濱鄉,2
[鄉鎮市長]花蓮縣瑞穗鄉,2
[鄉鎮市長]花蓮縣富里鄉,2
[鄉鎮市長]花蓮縣秀林鄉,3
[鄉鎮市長]花蓮縣萬榮鄉,2
[鄉鎮市長]花蓮縣卓溪鄉,2
[鄉鎮市民代表]花蓮縣花蓮市第1選舉區,9
[鄉鎮市民代表]花蓮縣花蓮市第2選舉區,1
[鄉鎮市民代表]花蓮縣花蓮市第3選舉區,7
[鄉鎮市民代表]花蓮縣花蓮市第4選舉區,11
[鄉鎮市民代表]花蓮縣花蓮市第5選舉區,4
[鄉鎮市民代表]花蓮縣鳳林鎮第1選舉區,7
[鄉鎮市民代表]花蓮縣鳳林鎮第2選舉區,4
[鄉鎮市民代表]花蓮縣鳳林鎮第3選舉區,1
[鄉鎮市民代表]花蓮縣鳳林鎮第4選舉區,3
[鄉鎮市民代表]花蓮縣玉里鎮第1選舉區,12
[鄉鎮市民代表]花蓮縣玉里鎮第2選舉區,2
[鄉鎮市民代表]花蓮縣玉里鎮第3選舉區,2
[鄉鎮市民代表]花蓮縣玉里鎮第4選舉區,3
[鄉鎮市民代表]花蓮縣新城鄉第1選舉區,2
[鄉鎮市民代表]花蓮縣新城鄉第2選舉區,8
[鄉鎮市民代表]花蓮縣新城鄉第3選舉區,4
[鄉鎮市民代表]花蓮縣新城鄉第4選舉區,4
[鄉鎮市民代表]花蓮縣吉安鄉第1選舉區,6
[鄉鎮市民代表]花蓮縣吉安鄉第2選舉區,6
[鄉鎮市民代表]花蓮縣吉安鄉第3選舉區,7
[鄉鎮市民代表]花蓮縣吉安鄉第4選舉區,4
[鄉鎮市民代表]花蓮縣壽豐鄉第1選舉區,6
[鄉鎮市民代表]花蓮縣壽豐鄉第2選舉區,3
[鄉鎮市民代表]花蓮縣壽豐鄉第3選舉區,2
[鄉鎮市民代表]花蓮縣壽豐鄉第4選舉區,7
[鄉鎮市民代表]花蓮縣光復鄉第1選舉區,6
[鄉鎮市民代表]花蓮縣光復鄉第2選舉區,3
[鄉鎮市民代表]花蓮縣光復鄉第3選舉區,5
[鄉鎮市民代表]花蓮縣光復鄉第4選舉區,4
[鄉鎮市民代表]花蓮縣豐濱鄉第1選舉區,2
[鄉鎮市民代表]花蓮縣豐濱鄉第2選舉區,9
[鄉鎮市民代表]花蓮縣瑞穗鄉第1選舉區,9
[鄉鎮市民代表]花蓮縣瑞穗鄉第2選舉區,4
[鄉鎮市民代表]花蓮縣瑞穗鄉第3選舉區,8
[鄉鎮市民代表]花蓮縣富里鄉第1選舉區,6
[鄉鎮市民代表]花蓮縣富里鄉第2選舉區,5
[鄉鎮市民代表]花蓮縣富里鄉第3選舉區,3
[鄉鎮市民代表]花蓮縣秀林鄉第1選舉區,13
[鄉鎮市民代表]花蓮縣秀林鄉第2選舉區,6
[鄉鎮市民代表]花蓮縣秀林鄉第3選舉區,9
[鄉鎮市民代表]花蓮縣萬榮鄉第1選舉區,4
[鄉鎮市民代表]花蓮縣萬榮鄉第2選舉區,5
[鄉鎮市民代表]花蓮縣萬榮鄉第3選舉區,6
[鄉鎮市民代表]花蓮縣卓溪鄉第1選舉區,4
[鄉鎮市民代表]花蓮縣卓溪鄉第2選舉區,8
[縣(市)長]澎湖縣,7
[縣(市)議員]澎湖縣第1選舉區,22
[縣(市)議員]澎湖縣第2選舉區,5
[縣(市)議員]澎湖縣第3選舉區,4
[縣(市)議員]澎湖縣第4選舉區,2
[縣(市)議員]澎湖縣第5選舉區,3
[縣(市)議員]澎湖縣第6選舉區,2
[鄉鎮市長]澎湖縣馬公市,3
[鄉鎮市長]澎湖縣湖西鄉,2
[鄉鎮市長]澎湖縣白沙鄉,3
[鄉鎮市長]澎湖縣西嶼鄉,1
[鄉鎮市長]澎湖縣望安鄉,2
[鄉鎮市長]澎湖縣七美鄉,1
[鄉鎮市民代表]澎湖縣馬公市第1選舉區,3
[鄉鎮市民代表]澎湖縣馬公市第2選舉區,7
[鄉鎮市民代表]澎湖縣馬公市第3選舉區,7
[鄉鎮市民代表]澎湖縣馬公市第4選舉區,4
[鄉鎮市民代表]澎湖縣湖西鄉第1選舉區,6
[鄉鎮市民代表]澎湖縣湖西鄉第2選舉區,5
[鄉鎮市民代表]澎湖縣湖西鄉第3選舉區,10
[鄉鎮市民代表]澎湖縣白沙鄉第1選舉區,3
[鄉鎮市民代表]澎湖縣白沙鄉第2選舉區,4
[鄉鎮市民代表]澎湖縣白沙鄉第3選舉區,2
[鄉鎮市民代表]澎湖縣白沙鄉第4選舉區,3
[鄉鎮市民代表]澎湖縣西嶼鄉第1選舉區,2
[鄉鎮市民代表]澎湖縣西嶼鄉第2選舉區,5
[鄉鎮市民代表]澎湖縣西嶼鄉第3選舉區,5
[鄉鎮市民代表]澎湖縣望安鄉第1選舉區,5
[鄉鎮市民代表]澎湖縣望安鄉第2選舉區,4
[鄉鎮市民代表]澎湖縣望安鄉第3選舉區,4
[鄉鎮市民代表]澎湖縣七美鄉第1選舉區,3
[鄉鎮市民代表]澎湖縣七美鄉第2選舉區,3
[鄉鎮市民代表]澎湖縣七美鄉第3選舉區,4
[縣(市)長]基隆市,2
[縣(市)議員]基隆市第1選舉區,7
[縣(市)議員]基隆市第2選舉區,7
[縣(市)議員]基隆市第3選舉區,9
[縣(市)議員]基隆市第4選舉區,7
[縣(市)議員]基隆市第5選舉區,14
[縣(市)議員]基隆市第6選舉區,8
[縣(市)議員]基隆市第7選舉區,6
[縣(市)議員]基隆市第8選舉區,2
[縣(市)長]新竹市,6
[縣(市)議員]新竹市第1選舉區,22
[縣(市)議員]新竹市第2選舉區,9
[縣(市)議員]新竹市第3選舉區,6
[縣(市)議員]新竹市第4選舉區,18
[縣(市)議員]新竹市第5選舉區,14
[縣(市)議員]新竹市第6選舉區,3
[縣(市)長]嘉義市,4
[縣(市)議員]嘉義市第1選舉區,21
[縣(市)議員]嘉義市第2選舉區,22
[直轄市長]臺北市,10
[直轄市議員]臺北市第1選舉區,46
[直轄市議員]臺北市第2選舉區,30
[直轄市議員]臺北市第3選舉區,43
[直轄市議員]臺北市第4選舉區,36
[直轄市議員]臺北市第5選舉區,38
[直轄市議員]臺北市第6選舉區,50
[直轄市議員]臺北市第8選舉區,4
[直轄市議員]臺北市第7選舉區,2
[直轄市長]高雄市,4
[直轄市議員]高雄市第1選舉區,6
[直轄市議員]高雄市第2選舉區,6
[直轄市議員]高雄市第3選舉區,7
[直轄市議員]高雄市第4選舉區,18
[直轄市議員]高雄市第5選舉區,10
[直轄市議員]高雄市第6選舉區,11
[直轄市議員]高雄市第7選舉區,12
[直轄市議員]高雄市第8選舉區,9
[直轄市議員]高雄市第9選舉區,16
[直轄市議員]高雄市第10選舉區,17
[直轄市議員]高雄市第11選舉區,9
[直轄市議員]高雄市第13選舉區,4
[直轄市議員]高雄市第14選舉區,2
[直轄市議員]高雄市第15選舉區,2
[直轄市議員]高雄市第12選舉區,3
[直轄市山地原住民區長]高雄市茂林區,2
[直轄市山地原住民區長]高雄市桃源區,2
[直轄市山地原住民區長]高雄市那瑪夏區,5
[直轄市山地原住民區代表]高雄市茂林區第1選舉區,12
[直轄市山地原住民區代表]高雄市茂林區第2選舉區,12
[直轄市山地原住民區代表]高雄市桃源區第1選舉區,24
[直轄市山地原住民區代表]高雄市桃源區第2選舉區,12
[直轄市山地原住民區代表]高雄市那瑪夏區第1選舉區,14
[直轄市山地原住民區代表]高雄市那瑪夏區第2選舉區,10
[直轄市長]新北市,2
[直轄市議員]新北市第1選舉區,7
[直轄市議員]新北市第2選舉區,24
[直轄市議員]新北市第3選舉區,15
[直轄市議員]新北市第4選舉區,18
[直轄市議員]新北市第5選舉區,10
[直轄市議員]新北市第6選舉區,4
[直轄市議員]新北市第7選舉區,15
[直轄市議員]新北市第8選舉區,8
[直轄市議員]新北市第9選舉區,3
[直轄市議員]新北市第10選舉區,8
[直轄市議員]新北市第12選舉區,3
[直轄市議員]新北市第11選舉區,5
[直轄市山地原住民區長]新北市烏來區,4
[直轄市山地原住民區代表]新北市烏來區第1選舉區,10
[直轄市山地原住民區代表]新北市烏來區第2選舉區,10
[直轄市山地原住民區代表]新北市烏來區第3選舉區,2
[直轄市山地原住民區代表]新北市烏來區第4選舉區,4
[直轄市長]臺中市,3
[直轄市議員]臺中市第1選舉區,5
[直轄市議員]臺中市第2選舉區,9
[直轄市議員]臺中市第3選舉區,9
[直轄市議員]臺中市第4選舉區,9
[直轄市議員]臺中市第5選舉區,10
[直轄市議員]臺中市第6選舉區,8
[直轄市議員]臺中市第7選舉區,7
[直轄市議員]臺中市第8選舉區,16
[直轄市議員]臺中市第9選舉區,7
[直轄市議員]臺中市第10選舉區,7
[直轄市議員]臺中市第11選舉區,11
[直轄市議員]臺中市第12選舉區,7
[直轄市議員]臺中市第13選舉區,10
[直轄市議員]臺中市第14選舉區,4
[直轄市議員]臺中市第16選舉區,2
[直轄市議員]臺中市第17選舉區,5
[直轄市議員]臺中市第15選舉區,4
[直轄市山地原住民區長]臺中市和平區,3
[直轄市山地原住民區代表]臺中市和平區第1選舉區,14
[直轄市山地原住民區代表]臺中市和平區第2選舉區,12
[直轄市山地原住民區代表]臺中市和平區第3選舉區,10
[直轄市長]臺南市,6
[直轄市議員]臺南市第1選舉區,10
[直轄市議員]臺南市第2選舉區,10
[直轄市議員]臺南市第3選舉區,4
[直轄市議員]臺南市第4選舉區,4
[直轄市議員]臺南市第5選舉區,10
[直轄市議員]臺南市第6選舉區,10
[直轄市議員]臺南市第7選舉區,15
[直轄市議員]臺南市第8選舉區,11
[直轄市議員]臺南市第9選舉區,12
[直轄市議員]臺南市第10選舉區,11
[直轄市議員]臺南市第11選舉區,10
[直轄市議員]臺南市第13選舉區,2
[直轄市議員]臺南市第12選舉區,3
[直轄市長]桃園市,5
[直轄市議員]桃園市第1選舉區,22
[直轄市議員]桃園市第2選舉區,6
[直轄市議員]桃園市第3選舉區,10
[直轄市議員]桃園市第4選舉區,7
[直轄市議員]桃園市第5選舉區,3
[直轄市議員]桃園市第6選舉區,5
[直轄市議員]桃園市第7選舉區,21
[直轄市議員]桃園市第8選舉區,12
[直轄市議員]桃園市第9選舉區,10
[直轄市議員]桃園市第10選舉區,9
[直轄市議員]桃園市第11選舉區,3
[直轄市議員]桃園市第12選舉區,5
[直轄市議員]桃園市第14選舉區,8
[直轄市議員]桃園市第13選舉區,9
[直轄市山地原住民區長]桃園市復興區,3
[直轄市山地原住民區代表]桃園市復興區第1選舉區,18
[直轄市山地原住民區代表]桃園市復興區第2選舉區,14
[直轄市山地原住民區代表]桃園市復興區第3選舉區,18
